(10) [-932823.46239703882, -730566.42024238629, -679380.96848632384, -1517723.1594653309, -1345700.4336561095, -495175.75898547284, -299947.92405249691, -264166.12893416733, 71249.385345444403, -777024.30125644442, -398372.97196694918, -162152.65696564841, -109962.66666823745, 659856.44648745446, -466847.04916543909, -2741773.2199981199, -1584339.0643301506, -870514.34063828632, -23015.754824388539, -5090388.1321752304, -1295221.4685152359, -826951.29546436598, -531642.09305245185, -2419990.3283083565, -2917939.4188780491]
(11) [918914.91282017669, 560679.0908037147, 299387.47117492295, 765734.80926341377, 252167.689900025, 756950.620277824, 492684.3549280006, 298013.4353845017, 1458496.4159011499, 555570.98763226822, 714771.02550264262, 469409.4170169463, 291598.1371645421, 1391026.4317436633, 597160.26886310708, 2425696.0296831857, 771508.36006190325, 483799.58557554078, -8128118.3651956283, -995904.47831115546, 1082937.5484125873, 681686.71604788071, 445993.86455476267, 1143816.7569114398, 1298792.5144438397]
(12) [143217.25253510397, 155999.30391176452, 164951.13251906668, 1071659.7176186845, 434082.05281686375, 75321.890478664936, 80493.829166183292, 68887.833335386109, 539869.56927755231, 276601.00041141408, 136539.4933113787, 109005.40651468332, 69595.331856839417, 464132.54240327491, 340893.18025279243, 1411259.0058307573, 1113956.7341612126, 955893.95402905415, -5802842.4933945956, 860452.28834075213, 222349.50145541472, 305166.86431310087, 340378.00912333239, 394602.46704796981, 864278.73291451135]
(13) [-1317145.4732392202, -750277.86742921185, -535738.73529213178, -2570651.3277951903, -1299112.9722242595, -1041477.8214977006, -596782.67543485458, -433405.46364120039, -2541802.980557418, -1381253.4292336879, -895925.92440757656, -486682.6784202375, -333903.51274829666, -2249473.4479463669, -1262109.3096410206, -2114238.6182300197, -1060638.0687817235, -1026272.0987655068, -7438433.8554166853, -3562183.2916155094, -1295388.487828779, -785560.74029334029, -677576.95176595985, -4917108.0484195324, -1899375.3768919136]
(14) [304035.77806264634, 330389.1188488375, 310202.39913994732, 168643.69107880004, -397553.60302734806, 299610.08218915662, 250230.88720584437, 232945.80495704277, 90678.545143601572, -276870.36622924003, 449115.03234389547, 308807.71849212504, 259251.38375407355, 258887.4250118777, -50110.741442469967, -1956589.4904134991, -343490.61607967783, 450315.1307580694, -1917526.8812371828, -4302428.6968977079, -1427946.3552590671, -651141.64671066543, -229678.9261487285, -1212173.5910876077, -2594993.1117068822]
(15) [42252.867555526595, -86094.848530097413, -73904.88133192579, -144890.79410158537, 6501.7868237913262, -280273.38982304482, -164678.57332273142, -61602.119869944123, -690769.34225340025, -229465.38282360675, -321959.43408327037, -175974.0341258469, -66818.172834235811, -819624.56469985412, -230977.44795250142, 838650.89428172482, 230845.21387703973, 347985.50563704909, 3889822.15232351, 912366.90622078313, -457661.55824300839, -413989.56081606727, -215470.18772489065, 483533.20664787287, -638210.20444359747]
(16) [294094.64753920847, 301956.68957961234, 422370.08041130932, 1120171.2582373109, -212477.16067781189, 170207.59326965688, 93251.382270401795, 161811.25525165634, 297767.15872649266, -543863.67624234059, 192716.40233194537, 81674.68911154932, 123245.24932661453, 52775.253919518917, -452068.28328021633, 1930210.8667332109, 709248.11353708419, 782598.01171500026, 7937831.0561297126, -1058409.0104884061, 462700.75321737229, 188936.19719285742, 222376.29960581622, 3358240.7838551807, -477094.23065479222]
(17) [-1657592.7426319707, -721287.73615077685, -449682.62167821312, 1468870.3582808373, -235372.86078831516, -965629.98225574347, -440700.93393595412, -306522.8386531141, 911602.05679820711, -30143.317758673504, -732970.89900363435, -349180.13667968271, -248337.67152512932, 1154945.2822780134, 94636.717960466121, -2712840.2398483772, -1522230.5463617425, -851054.07054344902, -3899520.9153210032, -1654181.1515450783, -1301162.49041169, -369043.65763737581, -118726.50008708495, 360848.66653684567, 287597.14295232261]
(18) [-5928.4597939662708, 57264.100474581493, -12530.913475813184, 1947135.0545260478, 263734.7795981433, 153301.90537429106, 146777.51626724337, 60423.443477058405, 394763.21501203813, -162306.19635487488, 30107.537426506606, 49019.745207306092, -19547.338624218595, 88122.11148254665, -200477.13950344038, 1427737.1737395725, 546144.3427667286, 302592.14314466767, -9910248.3730678577, -1369809.8742620535, 1070455.6465140539, 568490.55889665626, 510962.16904840001, -1775138.2487803351, -289359.78036737361]
(19) [-154271.16755845703, 84380.166244971959, 55110.10896898582, 2886630.7697342513, 695459.48486372456, -348324.29460819729, -186602.70973474576, -189012.93232699906, 1553784.2680738342, 368234.50883948652, -322465.41566689149, -216272.63812438244, -214836.92818220318, 783300.71024126827, 234522.64895729718, -2153005.1938278181, -2233295.2313614604, -2234217.4872690486, -11786252.231738165, -4432068.8842442082, -1103110.9232273493, -1020174.2907449617, -906443.72979088291, -3133872.4997161478, -1919462.6710182631]
